Designator,Mid X,Mid Y,Rotation,Layer
BUS_I2C_1_1,41.8425,-60.5175,90.0,top
BUS_I2C_1_2,41.6825,-45.0175,90.0,top
BUS_I2C_1_3,69.9525,-32.2,0.0,top
BUS_I2C_2_1,41.6825,-76.0175,90.0,top
BUS_I2C_2_2,54.4625,-32.2375,0.0,top
C1,164.9625,-60.5175,0.0,top
C10,99.9625,-26.5175,90.0,top
C11,97.5,-26.5,90.0,top
C12,97.4625,-31.0,90.0,top
C13,156.4625,-40.0175,270.0,top
C14,156.9625,-52.5175,180.0,top
C15,156.9625,-55.0175,180.0,top
C16,50.5,-89.0,270.0,top
C17,50.5,-104.5,270.0,top
C18,114.5,-111.0,0.0,top
C19,130.0,-111.0,0.0,top
C2,164.9625,-58.0175,0.0,top
C3,154.4625,-72.0175,270.0,top
C4,150.4625,-39.5175,180.0,top
C5,150.4625,-42.0175,180.0,top
C6,150.4625,-52.0175,0.0,top
C7,150.4625,-54.5175,0.0,top
C8,112.4625,-73.0175,180.0,top
C9,102.4625,-73.0175,180.0,top
D1,148.9625,-35.0175,180.0,top
DAVIS6450_1,85.97,-119.58,180.0,top
DHT22_1,101.53,-119.62,180.0,top
DS18B20_1,70.5,-119.78,180.0,top
FC28_1,54.5175,-119.8175,180.0,top
H1,104.4625,-46.7875,270.0,top
H2,118.88375,-56.0175,0.0,top
H3,133.4625,-31.2075,270.0,top
H4,133.4625,-46.8275,270.0,top
H5,104.4625,-35.0175,270.0,top
H6,65.0,-52.46,270.0,top
H7,78.0,-52.54,270.0,top
H8,71.5,-52.54,270.0,top
HX711_1,148.0,-119.62,180.0,top
HX711_2,160.62,-106.97,270.0,top
LED1,142.4625,-59.5675,270.0,top
LED2,133.9625,-59.5675,270.0,top
LED3,150.4125,-59.5175,0.0,top
P1,148.9625,-27.5175,180.0,top
P2,168.4625,-38.5175,90.0,top
P3,168.4625,-48.5175,90.0,top
PLUVIOMETER_1,41.6825,-107.0175,90.0,top
PLUVIOMETER_2,117.0,-119.78,180.0,top
PLUVIOMETER_3,132.5,-119.78,180.0,top
Q1,118.4625,-67.1175,90.0,top
Q2,122.9625,-67.1175,90.0,top
R1,158.9625,-70.5175,180.0,top
R10,99.9625,-31.0,270.0,top
R11,158.9625,-40.0175,270.0,top
R12,161.4625,-40.0175,90.0,top
R13,50.5,-94.5,90.0,top
R14,71.75,-111.0,180.0,top
R2,158.9625,-64.0175,180.0,top
R3,136.9625,-60.0175,90.0,top
R4,139.4625,-59.0175,90.0,top
R5,133.9625,-64.0175,90.0,top
R6,142.4625,-64.0175,90.0,top
R7,150.4625,-57.0175,0.0,top
R8,128.4625,-67.5175,180.0,top
R9,128.4625,-70.0175,180.0,top
U1,118.9625,-39.4075,0.0,top
U2,148.0925,-67.4675,0.0,top
U3,148.4625,-47.0175,180.0,top
U4,101.4625,-67.0175,90.0,top
U5,111.4625,-67.0175,90.0,top
U6,158.4625,-48.0175,0.0,top
UART_1,85.4625,-32.2375,0.0,top
USB1,167.0875,-67.2675,90.0,top
W_SPEED_1/W_DIR_1,41.6825,-91.5175,90.0,top
